# compass/orchestrator/calendars/cpi_2020_2025.csv
# Source: Bureau of Labor Statistics CPI release schedule
# (https://www.bls.gov/schedule/news_release/cpi.htm), captured via
# Wayback Machine snapshots (bls.gov 403s this host; archive.org holds
# faithful captures). Snapshots used: 20200115, 20210115, 20211115, 20220601, 20230115, 20240115, 20250115, 20251015, 20260115.
# Built by experiments/PROG0-data-backfill/build_cpi_calendar.py
# on 2026-07-12. Cross-checks: overlapping snapshots agree on every
# month (build aborts on conflict); 2026 overlap validated against the
# committed cpi_2026.csv; all dates weekdays within the BLS 8th-16th
# release band. All releases 08:30 ET.
#
date,notes
2020-01-14,CPI release (December 2019 data)
2020-02-13,CPI release (January 2020 data)
2020-03-11,CPI release (February 2020 data)
2020-04-10,CPI release (March 2020 data)
2020-05-12,CPI release (April 2020 data)
2020-06-10,CPI release (May 2020 data)
2020-07-14,CPI release (June 2020 data)
2020-08-12,CPI release (July 2020 data)
2020-09-11,CPI release (August 2020 data)
2020-10-13,CPI release (September 2020 data)
2020-11-12,CPI release (October 2020 data)
2020-12-10,CPI release (November 2020 data)
2021-01-13,CPI release (December 2020 data)
2021-02-10,CPI release (January 2021 data)
2021-03-10,CPI release (February 2021 data)
2021-04-13,CPI release (March 2021 data)
2021-05-12,CPI release (April 2021 data)
2021-06-10,CPI release (May 2021 data)
2021-07-13,CPI release (June 2021 data)
2021-08-11,CPI release (July 2021 data)
2021-09-14,CPI release (August 2021 data)
2021-10-13,CPI release (September 2021 data)
2021-11-10,CPI release (October 2021 data)
2021-12-10,CPI release (November 2021 data)
2022-01-12,CPI release (December 2021 data)
2022-02-10,CPI release (January 2022 data)
2022-03-10,CPI release (February 2022 data)
2022-04-12,CPI release (March 2022 data)
2022-05-11,CPI release (April 2022 data)
2022-06-10,CPI release (May 2022 data)
2022-07-13,CPI release (June 2022 data)
2022-08-10,CPI release (July 2022 data)
2022-09-13,CPI release (August 2022 data)
2022-10-13,CPI release (September 2022 data)
2022-11-10,CPI release (October 2022 data)
2022-12-13,CPI release (November 2022 data)
2023-01-12,CPI release (December 2022 data)
2023-02-14,CPI release (January 2023 data)
2023-03-14,CPI release (February 2023 data)
2023-04-12,CPI release (March 2023 data)
2023-05-10,CPI release (April 2023 data)
2023-06-13,CPI release (May 2023 data)
2023-07-12,CPI release (June 2023 data)
2023-08-10,CPI release (July 2023 data)
2023-09-13,CPI release (August 2023 data)
2023-10-12,CPI release (September 2023 data)
2023-11-14,CPI release (October 2023 data)
2023-12-12,CPI release (November 2023 data)
2024-01-11,CPI release (December 2023 data)
2024-02-13,CPI release (January 2024 data)
2024-03-12,CPI release (February 2024 data)
2024-04-10,CPI release (March 2024 data)
2024-05-15,CPI release (April 2024 data)
2024-06-12,CPI release (May 2024 data)
2024-07-11,CPI release (June 2024 data)
2024-08-14,CPI release (July 2024 data)
2024-09-11,CPI release (August 2024 data)
2024-10-10,CPI release (September 2024 data)
2024-11-13,CPI release (October 2024 data)
2024-12-11,CPI release (November 2024 data)
2025-01-15,CPI release (December 2024 data)
2025-02-12,CPI release (January 2025 data)
2025-03-12,CPI release (February 2025 data)
2025-04-10,CPI release (March 2025 data)
2025-05-13,CPI release (April 2025 data)
2025-06-11,CPI release (May 2025 data)
2025-07-15,CPI release (June 2025 data)
2025-08-12,CPI release (July 2025 data)
2025-09-11,CPI release (August 2025 data)
2025-10-15,CPI release (September 2025 data)
2025-11-13,CPI release (October 2025 data)
2025-12-10,CPI release (November 2025 data)
