experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,12.0,35.0,1.5,0.1,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,1.5,0.15,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,1.5,0.25,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.0,0.1,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.0,0.15,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.0,0.25,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.5,0.1,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.5,0.15,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,2.5,0.25,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.0,0.1,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.0,0.15,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.0,0.25,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.5,0.1,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.5,0.15,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,3.5,0.25,-7.22,3.247,22.5,True
EXP-400,12.0,35.0,1.5,0.05,-7.23,3.247,22.51,True
EXP-400,12.0,35.0,2.0,0.05,-7.23,3.247,22.51,True
EXP-400,12.0,35.0,2.5,0.05,-7.23,3.247,22.51,True
EXP-400,12.0,35.0,3.0,0.05,-7.23,3.247,22.51,True
EXP-400,12.0,35.0,3.5,0.05,-7.23,3.247,22.51,True
EXP-400,14.0,35.0,1.5,0.1,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,1.5,0.15,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,1.5,0.25,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.0,0.1,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.0,0.15,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.0,0.25,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.5,0.1,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.5,0.15,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,2.5,0.25,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.0,0.1,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.0,0.15,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.0,0.25,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.5,0.1,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.5,0.15,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,3.5,0.25,-8.72,3.211,25.78,True
EXP-400,14.0,35.0,1.5,0.05,-8.73,3.213,25.81,True
EXP-400,14.0,35.0,2.0,0.05,-8.73,3.213,25.81,True
EXP-400,14.0,35.0,2.5,0.05,-8.73,3.213,25.81,True
EXP-400,14.0,35.0,3.0,0.05,-8.73,3.213,25.81,True
EXP-400,14.0,35.0,3.5,0.05,-8.73,3.213,25.81,True
EXP-400,12.0,38.0,1.5,0.05,-8.98,3.126,23.22,True
EXP-400,12.0,38.0,2.0,0.05,-8.98,3.126,23.22,True
EXP-400,12.0,38.0,2.5,0.05,-8.98,3.126,23.22,True
EXP-400,12.0,38.0,3.0,0.05,-8.98,3.126,23.22,True
EXP-400,12.0,38.0,3.5,0.05,-8.98,3.126,23.22,True
EXP-400,12.0,38.0,1.5,0.1,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,1.5,0.15,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,1.5,0.25,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.0,0.1,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.0,0.15,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.0,0.25,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.5,0.1,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.5,0.15,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,2.5,0.25,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.0,0.1,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.0,0.15,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.0,0.25,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.5,0.1,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.5,0.15,-9.01,3.101,23.18,True
EXP-400,12.0,38.0,3.5,0.25,-9.01,3.101,23.18,True
EXP-400,16.0,35.0,1.5,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,1.5,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,1.5,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,1.5,0.25,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.0,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,2.0,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.0,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.0,0.25,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.5,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,2.5,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.5,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,2.5,0.25,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.0,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,3.0,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.0,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.0,0.25,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.05,-10.37,3.169,29.17,True
EXP-400,16.0,35.0,3.5,0.1,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.15,-10.37,3.165,29.11,True
EXP-400,16.0,35.0,3.5,0.25,-10.37,3.165,29.11,True
EXP-400,14.0,38.0,1.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,2.0,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,2.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,3.0,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,3.5,0.05,-10.46,3.091,26.33,True
EXP-400,14.0,38.0,1.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,1.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,1.5,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.0,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,2.5,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.0,0.25,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.1,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.15,-10.5,3.075,26.21,True
EXP-400,14.0,38.0,3.5,0.25,-10.5,3.075,26.21,True
EXP-400,12.0,42.0,1.5,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,2.0,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,2.5,0.05,-11.16,2.973,24.11,True
EXP-400,12.0,42.0,3.0,0.05,-11.16,2.973,24.11,True
